Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),coordinates
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196,"35.6895, 139.6917"
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221,"35.6895, 139.6917"
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136,"35.6895, 139.6917"
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,"35.6895, 139.6917"
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,"35.6895, 139.6917"
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230,"35.6895, 139.6917"
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232,"35.6895, 139.6917"
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255,"35.6895, 139.6917"
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267,"35.6895, 139.6917"
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212,"35.6895, 139.6917"
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225,"35.6895, 139.6917"
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,"35.6895, 139.6917"
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,"45.4642, 9.1900"
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,"52.1910, -1.6960"
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,"52.1910, -1.6960"
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,"52.1910, -1.6960"
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,"52.1910, -1.6960"
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,"52.1910, -1.6960"
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,"52.1910, -1.6960"
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,"52.1910, -1.6960"
AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202,"48.7665, 11.4259"
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,"48.7665, 11.4259"
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214,"48.7665, 11.4259"
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,"48.7665, 11.4259"
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,"48.7665, 11.4259"
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214,"48.7665, 11.4259"
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.2,28,235,"48.7665, 11.4259"
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251,"48.7665, 11.4259"
